,기업,연도,자산총계,부채총계,자본총계,매출액,영업이익,당기순이익
44,DL,2020,"13,901,859,840,255","10,690,535,919,843","3,211,323,920,412","1,566,148,811,684","119,049,765,679","572,657,162,958"
45,DL,2019,"13,445,224,177,772","6,708,517,368,302","6,736,706,809,470","1,660,433,291,503","135,985,787,217","710,307,661,773"
46,DL건설,2021,"1,669,601,207,042","711,709,962,529","957,891,244,513","2,010,344,322,791","229,634,333,122","175,561,248,492"
47,DL건설,2020,"1,498,377,650,002","696,525,414,351","801,852,235,651","1,734,637,383,766","203,361,674,104","149,320,163,315"
48,DL건설,2019,"851,719,906,629","393,877,294,304","457,842,612,325","1,279,913,145,407","142,966,582,933","95,096,422,296"
49,DN오토모티브,2021,"1,484,962,432,663","770,989,552,036","713,972,880,627","930,752,730,400","89,645,343,410","85,081,181,274"
50,DN오토모티브,2020,"961,755,008,032","307,077,824,011","654,677,184,021","803,096,377,188","69,581,437,126","48,427,397,900"
51,DN오토모티브,2019,"911,746,199,157","285,645,034,477","626,101,164,680","903,300,771,014","78,115,239,042","68,290,129,655"
52,DRB동일,2021,"831,956,562,409","356,400,809,939","475,555,752,470","551,337,199,988","577,562,481","-2,796,740,448"
53,DRB동일,2020,"776,434,763,082","312,819,481,260","463,615,281,822","496,638,329,092","21,049,959,929","6,267,806,548"
54,DRB동일,2019,"745,278,926,520","283,757,306,556","461,521,619,964","546,994,961,176","26,475,358,478","13,479,791,821"
55,DSR,2021,"302,598,631,429","124,579,417,803","178,019,213,626","272,417,651,710","13,454,431,587","12,538,612,095"
56,DSR,2020,"252,937,447,385","89,984,972,820","162,952,474,565","230,979,854,250","12,075,679,671","8,975,949,927"
57,DSR,2019,"240,410,406,795","85,074,300,200","155,336,106,595","236,324,122,853","10,659,340,231","8,785,193,596"
58,DSR제강,2021,"241,710,739,393","87,876,177,148","153,834,562,245","207,142,759,596","4,291,637,467","7,620,490,221"
59,DSR제강,2020,"206,252,815,744","59,997,585,302","146,255,230,442","176,206,566,779","3,534,042,581","5,279,450,700"
60,DSR제강,2019,"201,633,523,680","59,774,431,978","141,859,091,702","191,479,168,364","5,203,274,117","6,757,020,209"
61,E1,2021,"3,999,326,311,289","2,625,919,365,638","1,373,406,945,651","5,152,300,897,477","5,575,314,498","138,568,374,513"
62,E1,2020,"3,731,448,422,489","2,487,985,637,393","1,243,462,785,096","3,927,554,236,615","39,530,859,081","56,330,568,928"
63,E1,2019,"3,594,979,133,031","2,391,690,337,850","1,203,288,795,181","4,608,269,823,064","106,309,924,596","-52,402,496,505"
64,F&F 홀딩스,2021,"2,912,304,832,499","597,967,524,975","2,314,337,307,524","727,126,345,365","223,050,455,460","2,017,966,925,649"
65,F&F 홀딩스,2020,"817,829,021,444","266,105,399,885","551,723,621,559","20,650,573,255","-4,376,662,656","85,358,337,004"
66,F&F 홀딩스,2019,"684,437,158,364","200,705,198,778","483,731,959,586","910,336,565,120","150,736,275,367","109,943,278,059"
67,GKL,2021,"531,306,108,295","147,757,777,932","383,548,330,363","85,086,860,671","-145,828,746,668","-113,272,118,808"
68,GKL,2020,"708,445,969,367","222,055,672,049","486,390,297,318","184,462,332,044","-88,810,804,534","-64,326,965,650"
69,GKL,2019,"909,430,532,036","324,258,159,715","585,172,372,321","490,752,464,360","96,802,634,482","72,396,401,927"
70,GS,2021,"31,191,287,000,000","16,988,343,000,000","14,202,944,000,000","20,240,085,000,000","2,640,272,000,000","1,614,682,000,000"
71,GS,2020,"24,476,843,000,000","13,720,298,000,000","10,756,545,000,000","15,444,214,000,000","920,569,000,000","-187,776,000,000"
72,GS,2019,"24,734,086,000,000","13,718,283,000,000","11,015,803,000,000","17,786,063,000,000","2,033,142,000,000","668,945,000,000"
73,GS건설,2021,"15,183,727,264,768","10,311,003,421,948","4,872,723,842,820","9,036,575,422,803","646,485,539,335","428,803,249,577"
74,GS건설,2020,"13,770,677,888,907","9,458,561,906,485","4,312,115,982,422","10,122,930,837,450","750,397,845,885","329,675,683,016"
75,GS건설,2019,"13,171,205,734,337","9,028,178,350,231","4,143,027,384,106","10,416,589,201,821","767,266,689,077","447,479,242,607"
76,GS글로벌,2021,"1,442,681,820,909","1,100,168,067,127","342,513,753,782","3,849,040,520,289","38,846,703,450","22,028,008,413"
77,GS글로벌,2020,"956,821,701,333","657,805,876,104","299,015,825,229","2,815,020,979,457","32,299,928,715","-82,139,431,429"
78,GS글로벌,2019,"1,205,244,855,027","825,321,063,730","379,923,791,297","3,889,400,298,212","58,277,395,763","-16,661,330,444"
79,GS리테일,2021,"9,455,972,982,478","5,041,586,937,987","4,414,386,044,491","9,765,695,333,837","208,469,084,873","801,275,553,361"
80,GS리테일,2020,"7,177,767,175,769","4,510,588,585,251","2,667,178,590,518","8,862,318,939,407","252,567,215,539","154,521,822,927"
81,GS리테일,2019,"7,049,658,160,416","4,482,562,635,331","2,567,095,525,085","9,006,928,792,999","238,835,955,920","143,624,028,195"
